YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC
2011,12,SPAIN,948948.77,49972
2011,12,SWEDEN,224851.63,20835
2012,1,AUSTRIA,177093.57,14128
2012,1,BELGIUM,296479.14,11546
2012,1,BULGARIA,27041.96,1986
2012,1,CROATIA,10992.97,1823
2012,1,CYPRUS,40847.36,1623
2012,1,DENMARK,190317.43,13455
2012,1,FINLAND,183899.42,11381
2012,1,FRANCE,1522719.21,74781
2012,1,GERMANY,2152077.86,82825
2012,1,GREECE,99487.22,10340
2012,1,HUNGARY,47110.77,3951
2012,1,IRELAND,123356.63,7931
2012,1,ITALY,866728.19,58320
2012,1,LATVIA,23960.42,2530
2012,1,LITHUANIA,16132.83,1619
2012,1,LUXEMBOURG,83884.39,2033
2012,1,MALTA,16746.25,982
2012,1,NETHERLANDS,734260.23,20377
2012,1,POLAND,113721.94,11695
2012,1,PORTUGAL,222936.42,10721
2012,1,ROMANIA,61897.69,5548
2012,1,SLOVAKIA,6446.45,890
2012,1,SLOVENIA,7839.03,1166
2012,1,SPAIN,890843.32,48526
2012,1,SWEDEN,218084.65,20600
2012,2,AUSTRIA,172265.1,13992
2012,2,BELGIUM,297519.86,11802
2012,2,BULGARIA,24670.39,1808
2012,2,CROATIA,9912.5,1616
2012,2,CYPRUS,40651.91,1562
2012,2,DENMARK,188733.17,13477
2012,2,FINLAND,177450.94,11505
2012,2,FRANCE,1414747.93,71657
2012,2,GERMANY,2050483.81,82099
2012,2,GREECE,88383.17,9342
2012,2,HUNGARY,34211.18,2801
2012,2,IRELAND,114829.39,7570
2012,2,ITALY,782063.48,54955
2012,2,LATVIA,21274.87,2325
2012,2,LITHUANIA,14662.36,1538
2012,2,LUXEMBOURG,89450.94,2084
2012,2,MALTA,17237.59,959
2012,2,NETHERLANDS,707910.27,19542
2012,2,POLAND,104088.14,10966
2012,2,PORTUGAL,204466.82,9960
2012,2,ROMANIA,51860.77,4906
2012,2,SLOVAKIA,6043.03,923
2012,2,SLOVENIA,6528.46,1088
2012,2,SPAIN,823976.97,46400
2012,2,SWEDEN,214814.39,22048
2012,3,AUSTRIA,193511.55,16042
2012,3,BELGIUM,329876.45,13186
2012,3,BULGARIA,26548.71,2135
2012,3,CROATIA,13362.72,2086
2012,3,CYPRUS,49925.37,1912
2012,3,DENMARK,211719.72,15315
2012,3,FINLAND,188852.29,12483
2012,3,FRANCE,1603309.03,83227
2012,3,GERMANY,2317995.93,96288
2012,3,GREECE,106808.08,10816
2012,3,HUNGARY,41905.11,3433
2012,3,IRELAND,137892.26,8643
2012,3,ITALY,901874.37,64722
2012,3,LATVIA,24684.92,2625
2012,3,LITHUANIA,16573.78,1714
2012,3,LUXEMBOURG,96447.21,2345
2012,3,MALTA,20101.5,1131
2012,3,NETHERLANDS,778445.25,22739
2012,3,POLAND,120395.07,12542
2012,3,PORTUGAL,233688.96,11477
2012,3,ROMANIA,60983.99,5848
2012,3,SLOVAKIA,7344.97,1095
2012,3,SLOVENIA,7293.11,1284
2012,3,SPAIN,972902.6,54414
2012,3,SWEDEN,243809.8,25015
2012,4,AUSTRIA,185998.4,15130
2012,4,BELGIUM,324562.88,13262
2012,4,BULGARIA,27068.8,2229
2012,4,CROATIA,23639.82,3018
2012,4,CYPRUS,74953.89,2625
2012,4,DENMARK,201637.29,14539
2012,4,FINLAND,169300.61,11534
2012,4,FRANCE,1624345.93,81155
2012,4,GERMANY,2323597.56,93738
2012,4,GREECE,166401.67,14199
2012,4,HUNGARY,47504.61,3878
2012,4,IRELAND,159523.81,9407
2012,4,ITALY,979486.59,67609
2012,4,LATVIA,42023.52,3014
2012,4,LITHUANIA,17362.98,1820
2012,4,LUXEMBOURG,92026.1,2362
2012,4,MALTA,26453.89,1402
2012,4,NETHERLANDS,798956.21,22845
2012,4,POLAND,136803.15,13582
2012,4,PORTUGAL,271542.71,13234
2012,4,ROMANIA,69104.48,6259
2012,4,SLOVAKIA,8056.42,1094
2012,4,SLOVENIA,9411.92,1306
2012,4,SPAIN,1110685.27,59396
2012,4,SWEDEN,225152.91,22691
2012,5,AUSTRIA,196138.35,16077
2012,5,BELGIUM,339862.18,14441
2012,5,BULGARIA,38942.8,2817
2012,5,CROATIA,35546.62,3919
2012,5,CYPRUS,93151.55,3112
