YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC,FUEL_CONSUMPTION_TONNES
2011,5,LUXEMBOURG,96199.06,2533,30442.74
2011,5,MALTA,29212.7,1545,9244.53
2011,5,NETHERLANDS,862810.66,25962,273041.35
2011,5,POLAND,148234.43,13349,46909.63
2011,5,PORTUGAL,286087.75,14144,90534.1
2011,5,ROMANIA,84277.98,7034,26670.25
2011,5,SLOVAKIA,9614.84,1387,3042.67
2011,5,SLOVENIA,9638.33,1586,3050.1
2011,5,SPAIN,1364104.36,74771,431678.59
2011,5,SWEDEN,260744.8,26634,82514.18
2011,6,AUSTRIA,202014.07,16371,63928.5
2011,6,BELGIUM,362922.16,14622,114848.79
2011,6,BULGARIA,76656.69,4583,24258.45
2011,6,CROATIA,45466.68,4755,14388.19
2011,6,CYPRUS,103440.33,3276,32734.28
2011,6,DENMARK,226835.36,16572,71783.34
2011,6,FINLAND,194815.37,12824,61650.43
2011,6,FRANCE,1758031.56,90576,556339.1
2011,6,GERMANY,2517941.98,102575,796817.08
2011,6,GREECE,416166.1,24444,131698.13
2011,6,HUNGARY,68991.43,5263,21832.73
2011,6,IRELAND,194494.86,10923,61549.01
2011,6,ITALY,1137521.18,81925,359975.06
2011,6,LATVIA,35610.16,3470,11269.04
2011,6,LITHUANIA,18705.54,1866,5919.47
2011,6,LUXEMBOURG,96735.18,2491,30612.4
2011,6,MALTA,29803.07,1594,9431.35
2011,6,NETHERLANDS,852380.63,24868,269740.71
2011,6,POLAND,161313.93,13841,51048.71
2011,6,PORTUGAL,298614.74,14240,94498.34
2011,6,ROMANIA,79093.83,7030,25029.69
2011,6,SLOVAKIA,16126.54,1749,5103.34
2011,6,SLOVENIA,11342.68,1650,3589.46
2011,6,SPAIN,1426429.83,76498,451401.84
2011,6,SWEDEN,249896.6,23417,79081.2
2011,7,AUSTRIA,213386.96,16980,67527.52
2011,7,BELGIUM,388829.38,14906,123047.27
2011,7,BULGARIA,95539.8,5646,30234.11
2011,7,CROATIA,58328.02,5744,18458.23
2011,7,CYPRUS,120570.24,3759,38155.14
2011,7,DENMARK,246248.96,15952,77926.89
2011,7,FINLAND,188662.24,10165,59703.24
2011,7,FRANCE,1932616.98,94109,611587.65
2011,7,GERMANY,2631739.85,104867,832829.07
2011,7,GREECE,487252.58,28699,154193.85
2011,7,HUNGARY,73870.09,5650,23376.61
2011,7,IRELAND,207116.76,11352,65543.28
2011,7,ITALY,1246562.86,89114,394481.92
2011,7,LATVIA,38067.22,3686,12046.59
2011,7,LITHUANIA,18742.02,1885,5931.02
2011,7,LUXEMBOURG,105189.78,2580,33287.9
2011,7,MALTA,33113.55,1776,10478.97
2011,7,NETHERLANDS,921183.44,26066,291513.75
2011,7,POLAND,171488.05,14356,54268.37
2011,7,PORTUGAL,341460.42,16162,108057.09
2011,7,ROMANIA,84457.72,7324,26727.13
2011,7,SLOVAKIA,20231.12,1892,6402.25
2011,7,SLOVENIA,12502.24,1670,3956.4
